movie_id,person_id,name,job,department
508442,1513968,Jon Batiste,Original Music Composer,Sound
508442,12890,Pete Docter,Screenplay,Writing
508442,12890,Pete Docter,Director,Directing
508442,1924359,Dana Murray,Producer,Production
508442,142391,Atticus Ross,Original Music Composer,Sound
508442,3186,Trent Reznor,Original Music Composer,Sound
508442,2808625,Mike Jones,Screenplay,Writing
508442,2451598,Kemp Powers,Screenplay,Writing
398818,78160,Luca Guadagnino,Director,Directing
398818,54441,James Ivory,Screenplay,Writing
398818,1300796,Rodrigo Teixeira,Producer,Production
398818,156483,Peter Spears,Producer,Production
398818,78160,Luca Guadagnino,Producer,Production
398818,1196264,Emilie Georges,Producer,Production
398818,1110466,Marco Morabito,Producer,Production
398818,54441,James Ivory,Producer,Production
398818,47054,Howard Rosenman,Producer,Production
398818,1242722,Sufjan Stevens,Original Music Composer,Sound
655,2303,Wim Wenders,Director,Directing
655,9882,Don Guest,Producer,Production
655,6918,Ry Cooder,Original Music Composer,Sound
655,2304,Anatole Dauman,Producer,Production
655,2303,Wim Wenders,Producer,Production
791373,15217,Zack Snyder,Director,Directing
791373,282,Charles Roven,Producer,Production
791373,79243,Deborah Snyder,Producer,Production
791373,131680,Chris Terrio,Screenplay,Writing
791373,56827,Tom Holkenborg,Original Music Composer,Sound
149871,1129392,Riko Sakaguchi,Screenplay,Writing
149871,628,Isao Takahata,Screenplay,Writing
149871,628,Isao Takahata,Director,Directing
149871,1375745,Yoshiaki Nishimura,Producer,Production
149871,636,Joe Hisaishi,Original Music Composer,Sound
149871,78360,Seiichiro Ujiie,Producer,Production
996,3146,Billy Wilder,Director,Directing
996,3146,Billy Wilder,Screenplay,Writing
996,12493,Raymond Chandler,Screenplay,Writing
996,3450,Joseph Sistrom,Producer,Production
996,7647,Miklós Rózsa,Original Music Composer,Sound
19,67,Erich Pommer,Producer,Production
19,68,Fritz Lang,Director,Directing
19,69,Gottfried Huppertz,Original Music Composer,Sound
19,68,Fritz Lang,Screenplay,Writing
19,157,Thea von Harbou,Screenplay,Writing
19,1899458,Otto Harzner,Original Music Composer,Sound
812225,4247865,Hideyuki Yamazaki,Producer,Production
812225,4247866,Naomi Komatsu,Producer,Production
812225,1792313,Ryu Hashimoto,Producer,Production
812225,3502950,Shota Iida,Producer,Production
812225,3431960,Tomohiko Iwase,Producer,Production
812225,2022613,Maiko Isogai,Producer,Production
812225,2022611,Minako Seki,Original Music Composer,Sound
812225,2358333,Ayataka Tanemura,Director,Directing
812225,4027304,Ai Orii,Screenplay,Writing
